1,"Policies","Demand","right",1
2,"Policies","Market","left",0
34,"Farmers","Policies","up",1
3,"Policies","Farmers","up",1
4,"Policies","R&D","right",1
5,"Policies","Diversification","left",0
6,"Policies","Legume proteins","right",1
7,"Policies","Animal proteins","left",0
8,"Policies","Water availability","right",1
9,"Policies","GHG emissions","left",0
10,"Policies","Soil","left",0
11,"Policies","Health concerns","left",0
12,"Demand","Policies","left",0
13,"Demand","Market","left",0
14,"Demand","Farmers","left",0
15,"Demand","R&D","right",1
16,"Demand","Diversification","right",1
17,"Demand","Legume proteins","right",1
18,"Demand","Animal proteins","right",1
19,"Demand","Water availability","right",1
20,"Demand","GHG emissions","left",0
21,"Demand","Soil","left",0
22,"Demand","Health concerns","left",0
23,"Market","Policies","left",0
24,"Market","Demand","right",1
25,"Market","Farmers","right",1
26,"Market","R&D","right",1
27,"Market","Diversification","right",1
28,"Market","Legume proteins","left",0
29,"Market","Animal proteins","right",1
30,"Market","Water availability","right",1
31,"Market","GHG emissions","right",1
32,"Market","Soil","left",0
33,"Market","Health concerns","right",1
35,"Farmers","Demand","left",0
36,"Farmers","Market","up",1
