1,"Policies","Demand","right",1
2,"Policies","Market","right",1
34,"Farmers","Policies","up",1
3,"Policies","Farmers","up",1
4,"Policies","R&D","right",1
5,"Policies","Diversification","right",1
6,"Policies","Legume proteins","left",0
7,"Policies","Animal proteins","left",0
8,"Policies","Water availability","left",0
9,"Policies","GHG emissions","left",0
10,"Policies","Soil","right",1
11,"Policies","Health concerns","right",1
12,"Demand","Policies","right",1
13,"Demand","Market","left",0
14,"Demand","Farmers","right",1
15,"Demand","R&D","right",1
16,"Demand","Diversification","right",1
17,"Demand","Legume proteins","right",1
18,"Demand","Animal proteins","left",0
19,"Demand","Water availability","left",0
20,"Demand","GHG emissions","right",1
21,"Demand","Soil","right",1
22,"Demand","Health concerns","left",0
23,"Market","Policies","left",0
24,"Market","Demand","left",0
25,"Market","Farmers","left",0
26,"Market","R&D","left",0
27,"Market","Diversification","right",1
28,"Market","Legume proteins","right",1
29,"Market","Animal proteins","right",1
30,"Market","Water availability","left",0
31,"Market","GHG emissions","right",1
32,"Market","Soil","right",1
33,"Market","Health concerns","left",0
35,"Farmers","Demand","right",1
