1,"Policies","Demand","right",1
2,"Policies","Market","right",1
3,"Policies","Farmers","left",0
4,"Policies","R&D","left",0
5,"Policies","Diversification","right",1
67,"Legume proteins","Policies","up",1
6,"Policies","Legume proteins","up",1
7,"Policies","Animal proteins","right",1
8,"Policies","Water availability","right",1
9,"Policies","GHG emissions","left",0
10,"Policies","Soil","left",0
11,"Policies","Health concerns","left",0
1,"Policies","Demand","up",1
12,"Demand","Policies","up",1
13,"Demand","Market","right",1
14,"Demand","Farmers","left",0
15,"Demand","R&D","left",0
16,"Demand","Diversification","left",0
17,"Demand","Legume proteins","right",1
18,"Demand","Animal proteins","right",1
90,"Water availability","Demand","down",0
19,"Demand","Water availability","down",0
20,"Demand","GHG emissions","right",1
21,"Demand","Soil","left",0
