1,"Policies","Demand","right",1
2,"Policies","Market","left",0
34,"Farmers","Policies","up",1
3,"Policies","Farmers","up",1
4,"Policies","R&D","left",0
5,"Policies","Diversification","right",1
67,"Legume proteins","Policies","down",0
6,"Policies","Legume proteins","down",0
78,"Animal proteins","Policies","up",1
7,"Policies","Animal proteins","up",1
8,"Policies","Water availability","right",1
9,"Policies","GHG emissions","right",1
10,"Policies","Soil","left",0
122,"Health concerns","Policies","down",0
11,"Policies","Health concerns","down",0
1,"Policies","Demand","up",1
12,"Demand","Policies","up",1
13,"Demand","Market","right",1
35,"Farmers","Demand","down",0
14,"Demand","Farmers","down",0
15,"Demand","R&D","left",0
16,"Demand","Diversification","right",1
68,"Legume proteins","Demand","down",0
17,"Demand","Legume proteins","down",0
18,"Demand","Animal proteins","left",0
19,"Demand","Water availability","right",1
101,"GHG emissions","Demand","down",0
20,"Demand","GHG emissions","down",0
112,"Soil","Demand","up",1
21,"Demand","Soil","up",1
22,"Demand","Health concerns","right",1
2,"Policies","Market","down",0
23,"Market","Policies","down",0
24,"Market","Demand","left",0
36,"Farmers","Market","up",1
25,"Market","Farmers","up",1
47,"R&D","Market","down",0
26,"Market","R&D","down",0
27,"Market","Diversification","right",1
28,"Market","Legume proteins","left",0
29,"Market","Animal proteins","right",1
30,"Market","Water availability","right",1
102,"GHG emissions","Market","down",0
31,"Market","GHG emissions","down",0
32,"Market","Soil","right",1
124,"Health concerns","Market","down",0
33,"Market","Health concerns","down",0
